"","grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
"2797",10,0,"Black",1,0,1,0,1,1,0,1,1,1,1,1,1,0,225,21,1,1,0,421,543.99
"2803",11,0,"White",0,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,854,498.86
"2804",10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,50,25,1,1,1,2080,441.21
"2805",10,1,"White",0,0,1,0,0,1,0,1,1,1,1,1,1,0,250,31,1,1,1,2004,499.17
"2807",11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,250,30,1,1,1,2080,583.31
"2809",10,1,"White",1,1,1,1,1,1,0,0,1,1,1,1,1,0,240,20,1,0,1,575,483.22
"2810",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,275,30,1,1,0,1347,456.6
"2811",11,1,"White",0,1,1,0,0,1,0,0,1,1,1,1,1,0,960,15,1,1,0,434,555.37
"2812",10,1,"Asian",1,1,1,0,1,1,0,1,1,0,0,1,1,0,275,35,1,1,0,2340,508.87
"2813",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,150,28,1,1,0,930,575.65
"2814",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,350,32,1,1,0,1101,559.95
"2815",10,0,"Hispanic",1,1,1,0,1,1,0,0,1,1,1,1,1,0,150,23,1,1,1,539,409.57
"2816",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,270,35,1,1,1,2085,520.58
"2818",10,0,"Native Hawaiian/Other Pacific Islander",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,25,1,1,0,2041,549.15
"2819",9,1,"Black",1,0,1,0,1,1,0,1,1,1,1,1,1,0,175,27,1,1,1,2532,368.98
"2820",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,1,270,75,1,1,0,389,615.32
"2821",10,0,"Hispanic",1,1,1,0,0,1,1,1,0,0,0,0,1,0,270,30,1,1,1,2966,496.32
"2824",11,0,"Hispanic",0,1,1,0,1,0,0,1,1,0,0,0,0,0,375,35,1,1,1,2646,603.96
"2825",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,150,20,1,1,0,1387,498.55
"2826",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,30,1,1,1,1988,532.86
"2827",11,1,"White",1,0,1,0,1,1,0,1,1,0,0,1,1,0,60,25,1,1,1,1988,488.35
"2830",11,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,0,0,200,20,1,1,1,2640,488.83
"2831",9,1,"Hispanic",1,1,0,0,0,0,0,1,0,0,0,0,1,0,45,20,1,1,1,1408,433.84
"2832",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,240,17,1,1,0,996,622.31
"2833",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,225,32,1,1,0,2748,693.65
"2834",10,1,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,250,25,1,1,1,1723,468.87
"2837",11,0,"Asian",1,1,1,1,0,1,1,1,1,1,1,1,1,1,275,25,1,1,1,3592,525.32
"2838",10,1,"Hispanic",1,1,0,0,1,0,0,1,1,0,0,0,1,0,270,20,1,0,1,570,448.1
"2839",11,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,210,20,1,1,0,774,431.75
"2840",9,1,"Asian",1,0,1,0,0,1,0,1,0,0,0,0,1,0,270,29,1,1,1,1400,501.74
"2841",10,0,"White",1,1,0,0,1,1,0,1,1,1,1,1,1,0,240,23,1,1,0,2748,530.4
"2843",9,1,"Black",1,1,1,0,1,1,0,0,0,0,0,0,1,0,120,38,1,1,1,1900,548.8
"2844",10,0,"White",1,1,1,1,1,1,1,1,0,1,1,1,1,1,300,23,1,1,1,1378,569.01
"2845",11,0,"Black",0,0,1,0,1,1,0,1,1,1,1,1,1,0,315,20,1,1,0,1327,492.83
"2846",11,0,"Hispanic",1,1,1,0,1,1,1,0,1,0,0,1,1,0,300,30,1,1,1,3164,563.85
"2848",12,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,250,12,1,0,1,915,541.74
"2849",10,0,"Asian",0,1,1,1,1,1,1,0,0,0,0,0,1,0,200,21,1,1,1,2203,673.47
"2850",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,210,15,1,1,0,2098,533.74
"2851",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,25,1,1,0,505,435.15
"2852",9,1,"White",1,0,1,1,1,0,0,0,1,1,1,1,1,0,275,25,1,1,0,854,342.93
"2854",11,1,"Hispanic",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,30,1,0,1,308,565.79
"2855",10,1,"Black",1,1,1,0,1,1,0,0,1,1,1,1,1,0,55,22,1,1,1,1392,443.86
"2856",10,0,"White",1,1,1,0,1,1,0,1,1,0,1,1,1,0,300,35,1,1,1,3138,471.22
"2857",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,350,30,1,1,1,2080,540.25
"2859",10,1,"More than one race",0,1,1,0,1,1,0,1,1,1,1,1,1,0,200,22,1,1,0,1327,513.68
"2860",10,1,"Asian",0,1,1,0,0,1,1,1,0,0,0,0,1,1,600,30,1,1,1,2886,481.21
"2862",10,1,"White",0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,24,1,1,0,865,467.99
"2863",11,1,"Hispanic",1,1,1,1,1,0,0,0,1,1,0,1,1,0,225,20,1,1,1,1196,416.6
"2864",10,1,"White",1,0,1,0,1,1,0,0,1,1,1,1,1,0,250,24,1,1,0,899,359.76
"2865",10,0,"More than one race",0,1,1,0,1,1,0,1,1,1,1,1,1,1,250,30,1,1,0,316,547.01
"2869",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,450,30,1,1,0,1750,626.92
"2871",10,0,"Black",0,1,1,0,1,1,0,1,1,1,1,1,1,1,200,20,1,1,1,2532,647.42
"2872",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,90,24,1,1,0,1079,403.3
"2874",10,1,"Black",1,1,1,1,1,1,1,1,1,1,1,1,1,0,45,15,1,1,1,1196,416.68
"2877",10,0,"Black",1,1,1,0,1,1,1,1,1,0,0,1,1,0,285,22,1,1,1,1619,618.66
"2878",11,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,230,18,1,1,0,1828,484.33
"2879",10,1,"Hispanic",0,1,1,0,1,1,0,1,1,1,1,1,1,1,200,28,1,1,0,1900,501.26
"2881",10,1,"Hispanic",1,0,1,0,0,0,0,1,1,1,1,1,0,0,275,14,1,1,0,400,464.46
"2882",10,0,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,850,24,1,1,0,820,411.72
"2884",11,0,"Hispanic",0,1,1,0,0,1,0,1,1,0,0,0,0,1,450,26,1,1,1,1110,460.73
"2885",10,1,"Hispanic",0,1,0,0,1,0,0,0,1,0,1,1,1,0,180,25,1,1,0,1489,457.97
"2887",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,325,20,1,1,0,2183,626.16
"2888",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,1,55,30,1,1,0,2041,480.75
"2889",10,0,"Hispanic",1,0,0,0,1,1,0,1,1,0,1,1,1,0,385,13,1,1,0,400,436.35
"2890",11,1,"Native Hawaiian/Other Pacific Islander",0,0,1,0,0,1,0,1,1,1,1,1,1,1,360,40,0,1,1,626,485.94
"2891",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,240,26,1,0,1,575,707.47
"2892",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,29,1,1,0,1897,513.72
"2893",10,0,"White",0,1,1,1,1,1,0,0,1,1,1,1,1,0,270,24,1,1,0,1471,444.13
"2895",10,1,"American Indian/Alaska Native",1,1,1,0,0,1,0,1,1,1,1,1,0,1,440,15,1,1,0,887,490.83
"2896",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,12,1,0,1,915,599.38
"2899",10,1,"White",0,1,1,1,1,1,0,1,1,1,1,1,1,0,270,15,1,1,0,389,599.14
"2905",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,200,17,1,1,0,846,446.26
"2906",10,0,"Asian",1,1,1,1,0,1,1,1,1,0,0,1,1,1,270,25,1,1,0,1680,609.76
"2907",10,1,"More than one race",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,25,1,1,1,2162,551.36
"2908",11,1,"Hispanic",1,1,1,0,1,1,0,1,1,0,0,0,1,1,275,40,1,1,1,1763,424.62
"2909",10,1,"White",1,1,1,0,0,1,1,1,1,1,0,1,1,0,225,25,1,0,0,1064,400.65
"2910",10,1,"Hispanic",1,0,1,1,0,1,0,1,1,0,0,0,1,0,300,20,0,1,1,6694,383.01
"2912",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,15,1,0,1,1212,573.01
"2913",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,270,20,1,1,1,2999,593.21
"2914",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,240,23,1,0,1,575,623.27
"2915",10,1,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,45,25,1,1,0,1610,561.22
"2916",9,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,1,300,25,1,1,0,3004,532.28
"2917",11,1,"White",0,1,1,1,1,1,0,1,1,1,1,1,1,0,650,30,1,1,0,362,592.49
"2918",10,1,"White",1,1,1,1,1,1,1,1,1,0,0,1,1,1,180,34,1,1,1,2886,545.11
"2919",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,1,420,30,0,1,1,626,508.24
"2920",10,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,250,20,1,1,0,1250,530.88
"2921",10,0,"American Indian/Alaska Native",1,1,1,0,0,0,0,1,1,1,1,1,1,0,600,30,1,1,0,930,518.72
"2922",10,1,"White",1,1,1,1,0,1,1,1,1,1,0,1,1,0,225,15,1,0,1,915,608.76
"2925",11,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,0,240,20,1,1,0,1812,602.14
"2926",10,0,"Hispanic",0,0,0,0,1,0,0,0,1,1,0,1,1,0,150,23,1,1,1,2144,339.43
"2927",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,29,0,0,1,366,613.81
"2929",10,1,"Black",1,1,1,0,1,0,0,0,1,1,1,1,0,0,450,20,1,1,0,1173,411.23
"2930",11,0,"White",1,1,1,1,1,1,1,0,1,1,1,1,1,1,450,20,1,1,1,1640,623.03
"2931",11,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,24,1,1,0,1680,654.94
"2933",10,0,"Hispanic",0,1,0,0,0,0,0,0,0,0,0,0,1,1,360,28,1,1,1,2886,551.53
"2934",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,270,17,1,1,0,996,568.61
"2935",10,0,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,1,225,40,1,1,0,149,541.76
"2936",10,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,290,20,1,1,0,2710,542.94
"2937",11,0,"Black",1,1,1,0,1,1,0,1,1,0,0,1,1,1,275,27,1,1,0,1526,632.8
"2938",9,0,"White",0,1,1,0,1,1,0,0,1,1,1,1,0,0,90,30,1,1,0,1387,444.92
"2941",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,30,1,1,1,2080,552.08
"2942",10,1,"White",1,0,1,1,1,1,1,1,1,1,1,1,1,0,375,65,1,1,1,1378,324.33
"2944",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,255,35,1,1,1,2966,480.73
"2948",11,0,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,1,400,30,1,1,0,930,660.37
"2949",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,400,20,1,1,0,1079,547.03
"2950",11,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,275,20,1,1,0,690,618.58
"2952",11,0,"Hispanic",0,1,1,0,1,1,1,1,0,0,0,0,1,0,450,20,1,1,0,2569,404.57
"2953",10,1,"Black",1,1,1,0,1,1,1,1,1,1,1,1,1,1,240,20,1,1,0,1411,467.59
"2954",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,0,0,0,1,1,250,12,1,0,1,915,609.76
"2955",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,240,25,1,0,1,575,693.42
"2956",10,1,"Hispanic",0,1,0,0,1,0,0,1,1,0,0,0,1,0,450,20,1,1,0,865,529.23
"2957",10,0,"Hispanic",1,0,0,0,0,0,0,1,1,0,0,0,1,1,360,29,1,1,1,2942,452.71
"2958",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,240,23,1,1,0,509,591.01
"2959",10,0,"Hispanic",0,1,1,0,1,1,0,1,1,0,0,1,1,1,360,30,1,1,1,2886,409.02
"2961",10,0,"Hispanic",1,1,1,0,1,1,1,0,1,0,0,1,1,1,261,27,1,1,1,1734,582.91
"2962",11,0,"Hispanic",0,1,1,1,1,1,1,1,1,1,1,1,1,1,315,20,1,1,1,1640,666.48
"2963",11,0,"Hispanic",1,1,1,0,1,0,0,1,1,1,0,1,1,0,240,33,1,0,1,570,437.7
"2964",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,250,25,1,1,0,1733,605.55
"2965",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,275,26,1,1,0,505,580.37
"2967",10,0,"Black",0,1,1,0,0,1,0,0,1,1,1,1,0,1,165,13,1,1,0,261,558.76
"2968",10,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,275,25,1,1,0,2340,570.04
"2970",10,1,"White",1,1,0,0,1,0,0,1,0,0,0,0,1,1,225,20,0,1,1,991,486.59
"2972",10,0,"Hispanic",0,1,0,0,0,0,0,0,1,0,0,1,1,0,120,35,0,1,1,626,399.01
"2976",10,0,"White",1,0,1,0,1,1,1,1,1,1,1,1,1,0,240,25,1,1,0,1087,484.25
"2977",11,0,"White",1,1,1,0,0,1,1,0,1,1,1,1,1,1,250,18,1,1,0,1680,670.3
"2978",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,1,350,28,1,1,0,899,542.32
"2980",10,0,"Black",0,1,1,0,1,1,0,0,1,1,1,1,1,0,450,22,1,1,0,820,541.29
"2981",10,0,"Black",1,1,1,0,0,1,0,0,1,1,1,1,1,0,55,20,1,1,0,754,277.7
"2982",10,0,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,1,270,28,1,1,0,1680,533.02
"2985",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,270,23,1,1,0,389,364.45
"2986",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,400,30,1,1,0,712,638.66
"2988",10,0,"Hispanic",1,1,1,0,0,0,0,1,1,0,0,1,1,1,360,36,1,1,1,2942,552.72
"2989",10,1,"Hispanic",1,1,0,0,1,1,0,1,1,0,0,0,1,1,275,20,1,1,0,926,465.1
"2990",9,0,"White",0,1,1,0,1,1,0,1,0,0,0,0,1,0,180,20,1,1,0,846,440.08
"2993",11,0,"Hispanic",0,1,1,1,1,1,0,0,1,1,1,1,1,0,225,25,1,1,0,1610,479.32
"2994",9,0,"Black",0,1,1,0,0,1,0,1,1,1,1,1,0,1,252,26,1,1,1,914,482.1
"2996",10,0,"Hispanic",1,0,1,0,0,0,0,1,1,0,0,0,1,1,255,35,1,1,1,1734,590.46
"2998",10,0,"Hispanic",0,0,0,0,0,0,0,1,1,0,0,0,0,0,270,20,1,1,0,1489,597.53
"2999",11,1,"Hispanic",0,1,1,0,1,0,0,1,0,0,0,1,1,0,280,40,1,1,1,3592,476.8
"3001",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,180,20,1,1,0,996,507.67
"3003",10,0,"White",1,1,1,1,0,1,1,0,1,1,1,1,1,0,275,30,1,1,1,2162,595.78
"3004",11,0,"White",0,0,1,0,0,1,0,1,1,1,1,1,1,0,225,24,1,1,0,1610,605.95
"3005",10,1,"White",1,0,1,0,0,1,0,1,1,1,1,1,0,0,225,25,1,1,0,1327,364.65
"3006",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,300,25,1,1,1,1988,524.29
"3010",10,1,"Black",1,1,1,0,1,1,0,1,1,1,1,1,1,0,450,26,1,1,1,2162,587.92
"3012",10,0,"White",1,1,1,0,0,1,1,0,1,0,0,1,1,0,200,18,1,1,1,2203,668.71
"3013",10,0,"Asian",1,1,1,0,1,1,0,0,0,0,0,0,1,0,300,32,1,1,0,2340,539.46
"3014",10,1,"Hispanic",0,1,1,0,1,1,0,1,1,1,0,1,1,0,275,33,1,1,0,1347,414.76
"3017",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,300,32,1,1,0,2340,462.7
"3018",10,0,"Hispanic",0,0,0,0,1,0,0,1,1,0,0,0,1,0,90,23,1,1,0,1411,452.71
"3019",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,0,360,25,1,1,0,2361,506.81
"3022",9,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,270,20,1,1,0,196,461.01
"3023",10,1,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,300,20,1,1,0,1900,480.97
"3024",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,0,0,225,30,1,1,0,276,463.18
"3025",11,0,"More than one race",1,1,1,1,1,1,1,1,1,0,1,1,1,1,250,30,1,1,0,1692,730.27
"3026",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,270,20,1,1,0,1680,571.56
"3027",11,0,"Hispanic",1,0,0,0,1,0,0,1,0,0,0,0,1,0,900,20,1,1,1,1196,402.5
"3028",11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,235,30,1,1,0,1250,547.96
"3030",10,0,"White",1,1,1,0,0,1,0,0,1,1,1,1,1,0,330,30,1,1,0,2340,482.74
"3032",10,1,"Hispanic",1,0,1,0,0,1,0,1,1,1,1,0,1,0,225,20,1,1,1,1196,467.26
"3034",10,1,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,225,28,1,1,0,1897,613.01
"3036",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,420,18,1,1,0,1250,563.55
"3037",11,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,1,275,30,1,1,1,1988,556.86
"3039",10,1,"Hispanic",1,1,1,0,1,1,0,0,1,0,1,1,1,0,200,20,1,0,1,398,477.45
"3040",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,225,30,1,1,0,316,478.77
"3043",11,0,"White",0,1,1,0,1,1,0,0,1,1,1,1,1,0,250,22,1,1,0,316,621.36
"3044",10,0,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,275,22,1,1,0,1233,528.26
"3045",11,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,225,20,1,1,0,636,580.22
"3046",10,1,"Hispanic",0,1,0,0,0,1,1,1,0,0,0,0,1,0,250,25,1,1,1,1763,482.02
"3047",10,1,"More than one race",0,1,1,1,1,1,0,1,1,1,1,1,1,0,636,18,1,1,0,1526,628.64
"3048",10,1,"Hispanic",1,1,1,1,0,1,1,1,1,0,0,0,1,0,45,27,1,1,0,2878,520.82
"3049",10,1,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,0,275,27,1,1,0,1526,588.24
"3053",10,1,"White",1,0,1,1,1,1,1,1,1,1,1,1,0,0,225,12,1,0,1,1212,454.36
"3054",11,1,"More than one race",1,0,1,0,0,1,0,0,1,1,1,1,0,0,250,29,1,1,0,1692,482.42
"3055",11,1,"Asian",0,1,1,0,1,1,0,1,0,0,0,0,1,0,360,30,0,1,1,2162,444.66
"3056",10,0,"Hispanic",1,0,1,0,0,1,0,1,1,1,1,1,0,0,225,30,1,1,0,889,363.5
"3057",10,0,"White",0,1,1,1,1,1,1,1,0,0,0,0,1,0,236,20,1,1,0,2710,638.68
"3058",10,0,"More than one race",0,0,1,0,1,1,0,1,1,1,1,1,1,1,30,20,1,1,1,1720,471.85
"3059",10,1,"Black",0,1,1,0,1,1,0,1,1,1,1,1,1,0,85,20,1,1,0,820,274.78
"3060",10,0,"White",1,1,1,1,1,0,0,0,1,1,1,1,1,0,280,26,1,1,0,1064,557.89
"3061",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,400,23,1,1,0,987,512.24
"3062",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,500,25,1,1,0,850,685.55
"3064",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,60,30,1,1,0,926,519.36
"3065",10,1,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,200,20,1,0,1,398,480.09
"3066",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,270,24,1,1,0,1680,624.22
"3067",11,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,275,30,1,1,1,1046,609.8
"3069",11,1,"White",1,1,0,0,1,0,0,1,1,1,1,1,1,0,270,25,1,1,0,1680,613.81
"3070",9,1,"Black",1,0,1,0,0,1,0,1,1,1,1,1,1,0,30,10,1,1,0,100,362.65
"3072",10,0,"Hispanic",0,1,1,0,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1250,539.94
"3074",9,0,"More than one race",0,1,1,0,1,1,0,0,1,1,1,1,1,1,160,25,1,1,0,887,547.24
"3075",9,0,"Black",1,1,1,1,1,1,1,1,1,0,0,1,1,1,300,23,1,1,0,2041,563.77
"3076",10,1,"Hispanic",1,1,1,1,0,1,1,0,1,1,1,1,1,1,225,24,1,1,0,1897,471.59
"3077",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,250,20,1,1,0,400,432.55
"3078",10,1,"Hispanic",1,1,1,0,1,1,0,0,0,0,0,0,1,0,240,10,1,1,1,1110,369.54
"3079",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,450,25,1,1,0,987,542.46
"3080",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,275,35,1,1,0,1692,682.13
"3084",10,0,"More than one race",1,0,1,1,1,1,0,1,1,1,1,1,1,0,250,30,1,0,1,308,320.92
"3086",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,300,18,1,1,0,690,698.42
"3088",10,1,"Hispanic",1,1,1,1,1,1,0,1,0,0,0,0,1,1,200,29,1,0,1,398,410.35
"3091",11,0,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,225,20,1,1,0,358,652.02
"3092",9,0,"Hispanic",0,0,0,0,0,0,0,1,1,1,1,1,1,0,45,20,1,1,0,1250,389.79
"3093",10,1,"Hispanic",1,0,0,0,0,0,0,1,1,0,0,0,0,0,225,27,1,1,1,1574,519.77
"3095",10,1,"Black",1,1,1,0,1,1,0,0,1,0,1,1,1,0,70,30,1,1,1,1392,411.95
"3097",10,1,"White",1,1,1,1,1,1,1,1,1,1,0,1,1,0,250,30,1,1,0,2878,738.47
"3099",10,0,"White",0,1,1,1,1,0,0,1,1,1,1,1,1,0,235,21,1,1,0,1828,311.15
"3101",11,0,"Asian",1,1,1,0,1,1,0,1,1,0,0,0,1,0,200,20,1,1,1,989,537
"3102",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,225,30,1,1,0,1380,473.13
"3103",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,300,30,1,1,0,898,477.18
"3107",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,275,23,1,1,0,929,492.51
"3109",10,0,"Native Hawaiian/Other Pacific Islander",1,1,1,0,1,1,0,0,1,1,1,1,1,1,200,15,1,1,0,846,607.06
"3110",10,1,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,250,18,1,1,1,1723,396.64
"3111",10,1,"Hispanic",1,0,1,0,0,1,0,1,1,1,1,1,1,0,250,36,1,1,0,505,424.05
"3112",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,1,0,261,30,1,1,0,979,582.22
"3113",10,1,"White",1,1,1,0,1,1,0,0,1,1,1,1,1,0,180,20,1,1,0,389,464.3
"3114",9,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,90,32,1,1,0,432,509.75
"3115",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,25,1,1,0,1610,560.34
"3116",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,240,20,1,1,0,509,535.49
"3120",10,1,"White",0,0,0,0,0,1,0,1,1,1,1,1,1,0,225,20,1,1,0,1375,472.4
"3121",11,0,"Hispanic",1,0,1,0,0,1,0,0,1,1,0,1,1,0,175,18,1,1,1,1110,394.48
"3123",11,1,"White",0,0,1,0,1,0,0,1,1,0,0,0,0,1,700,20,1,1,1,2646,482.34
"3124",10,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,225,18,1,0,1,356,555.45
"3125",10,0,"White",1,1,1,0,1,1,1,1,1,0,0,0,1,0,225,30,1,1,0,2878,564.88
"3127",9,1,"Asian",1,1,0,0,1,0,0,1,0,0,0,0,0,0,200,30,1,1,1,989,406.5
"3128",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,225,24,1,1,0,276,461.53
"3130",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,200,15,1,0,1,356,513.16
"3132",11,0,"Asian",1,1,1,1,1,1,1,1,1,0,0,1,1,1,275,28,1,1,0,2000,656
"3133",10,1,"White",0,0,1,1,1,1,0,1,1,1,1,1,0,0,240,30,1,1,0,1087,462.78
"3134",10,1,"Asian",1,1,0,0,0,1,0,1,1,0,0,1,1,0,250,30,1,1,0,1347,373.23
"3135",10,1,"Hispanic",0,1,1,0,1,1,0,1,1,0,0,0,1,1,270,39,1,1,1,1734,573.81
"3136",10,1,"Hispanic",0,1,0,0,0,0,0,1,0,0,0,0,0,0,150,30,1,1,0,1079,479.93
"3137",10,0,"Black",1,0,1,0,1,1,0,1,1,1,1,1,1,0,600,20,1,1,0,1173,487.58
"3138",9,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,225,20,1,1,0,1380,448.35
"3139",10,1,"White",1,1,0,0,0,1,0,1,1,1,1,1,1,0,250,20,0,0,1,308,550.16
"3140",10,0,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,270,30,1,1,1,2255,552.01
"3143",9,1,"White",0,1,1,1,1,1,1,1,1,1,1,1,1,0,400,32,1,1,0,930,561.14
"3144",10,0,"Black",1,1,1,1,1,1,0,1,1,1,1,1,1,1,40,15,1,1,0,1411,501.09
"3146",10,1,"Hispanic",1,1,1,0,1,0,0,0,1,1,1,1,0,0,275,15,1,1,1,539,579.82
"3148",10,0,"White",0,1,1,0,1,1,0,1,1,0,1,1,1,1,300,30,1,1,1,2255,577.83
"3149",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,275,25,1,1,1,2144,425.22
"3150",11,0,"Hispanic",0,1,0,0,0,0,0,1,0,0,0,0,1,0,270,20,1,1,0,1489,582.44
"3152",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,1,450,30,1,1,0,432,516.9
"3156",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,360,25,1,1,0,929,586.25
